Lead_ID,Lead_Source,Industry,Company_Size,Budget,Interaction_Count,Response_Time,Location,Engagement_Score,Previous_Contact_History,Conversion_Probability_True,Conversion_Status,Lead_Value_Score,Interaction_Velocity,Engagement_Per_Interaction,High_Intent_Lead
LEAD0001,Email,Finance,Small,28200.0,2,1.3,Europe,36,0,0.1422,1,10152.0,0.8695652173913044,12.0,0
LEAD0002,Referral,Finance,Small,6100.0,5,22.0,Asia-Pacific,96,1,0.9614,1,5856.0,0.21739130434782608,16.0,0
LEAD0003,Cold Call,Education,Small,10500.0,3,8.2,Europe,61,0,0.0891,0,6405.0,0.32608695652173914,15.25,0
LEAD0004,Email,Finance,Medium,23800.0,5,33.7,North America,62,0,0.4716,0,14756.0,0.1440922190201729,10.333333333333334,0
LEAD0005,Website,Education,Small,15200.0,7,7.5,North America,74,2,0.7441,1,11248.0,0.8235294117647058,9.25,0
LEAD0006,Website,Tech,Large,28800.0,7,31.4,North America,45,0,0.4742,0,12960.0,0.2160493827160494,5.625,0
LEAD0007,Website,Retail,Small,67000.0,8,3.4,North America,79,1,0.9327,1,52930.0,1.8181818181818181,8.777777777777779,0
LEAD0008,LinkedIn,Education,Medium,4500.0,7,11.6,Europe,25,0,0.2137,1,1125.0,0.5555555555555556,3.125,0
LEAD0009,Cold Call,Tech,Medium,26700.0,3,48.0,Europe,43,1,0.0376,0,11481.0,0.061224489795918366,10.75,0
LEAD0010,Cold Call,Finance,Medium,7200.0,7,5.8,North America,39,0,0.2444,1,2808.0,1.0294117647058825,4.875,0
LEAD0011,Website,Tech,Large,12700.0,6,0.1,North America,17,1,0.7299,1,2159.0,5.454545454545454,2.4285714285714284,0
LEAD0012,Referral,Retail,Medium,2700.0,4,0.9,North America,44,0,0.7724,1,1188.0,2.1052631578947367,8.8,0
LEAD0013,LinkedIn,Healthcare,Large,4900.0,7,23.6,Middle East,54,2,0.6546,1,2646.0,0.2845528455284553,6.75,0
LEAD0014,Website,Healthcare,Small,9700.0,7,8.2,Europe,33,0,0.4202,1,3201.0,0.7608695652173914,4.125,0
LEAD0015,Website,Tech,Medium,10400.0,12,9.3,South America,30,0,0.5019,1,3120.0,1.1650485436893203,2.3076923076923075,0
LEAD0016,Website,Tech,Small,48000.0,6,19.4,Asia-Pacific,56,1,0.6114,1,26880.0,0.29411764705882354,8.0,0
LEAD0017,Website,Tech,Small,29100.0,8,20.1,Europe,53,1,0.5992,0,15423.0,0.3791469194312796,5.888888888888889,0
LEAD0018,Email,Finance,Small,73600.0,6,7.9,Asia-Pacific,50,2,0.7361,0,36800.0,0.6741573033707865,7.142857142857143,0
LEAD0019,Email,Healthcare,Small,20300.0,5,23.5,North America,30,0,0.092,0,6090.0,0.20408163265306123,5.0,0
LEAD0020,Website,Education,Small,7500.0,2,7.7,Asia-Pacific,47,0,0.1613,0,3525.0,0.2298850574712644,15.666666666666666,0
LEAD0021,Cold Call,Retail,Small,9900.0,8,13.6,North America,42,1,0.1658,0,4158.0,0.547945205479452,4.666666666666667,0
LEAD0022,Website,Finance,Small,9700.0,6,0.5,Asia-Pacific,57,2,0.8922,1,5529.0,4.0,8.142857142857142,0
LEAD0023,Website,Manufacturing,Large,9900.0,5,1.9,North America,44,1,0.6061,0,4356.0,1.7241379310344829,7.333333333333333,0
LEAD0024,Email,Retail,Small,24400.0,7,23.0,Asia-Pacific,54,1,0.6008,1,13176.0,0.2916666666666667,6.75,0
LEAD0025,Email,Manufacturing,Medium,17100.0,2,4.6,North America,29,1,0.1108,0,4959.0,0.35714285714285715,9.666666666666666,0
LEAD0026,LinkedIn,Healthcare,Small,11700.0,4,5.0,South America,27,2,0.2551,1,3159.0,0.6666666666666666,5.4,0
LEAD0027,Website,Tech,Large,5200.0,6,13.2,North America,66,2,0.7782,1,3432.0,0.4225352112676057,9.428571428571429,0
LEAD0028,Email,Tech,Large,2400.0,9,10.9,Asia-Pacific,70,2,0.7222,1,1680.0,0.7563025210084033,7.0,0
LEAD0029,Email,Retail,Medium,6900.0,6,1.1,Europe,47,0,0.4181,0,3243.0,2.857142857142857,6.714285714285714,0
LEAD0030,Website,Tech,Medium,4300.0,3,17.5,North America,56,0,0.4223,1,2408.0,0.16216216216216217,14.0,0
LEAD0031,Cold Call,Finance,Small,32800.0,12,11.6,Europe,46,0,0.1292,0,15088.0,0.9523809523809524,3.5384615384615383,0
LEAD0032,Website,Healthcare,Large,4400.0,9,23.3,Middle East,77,2,0.8482,1,3388.0,0.37037037037037035,7.7,0
LEAD0033,Website,Healthcare,Large,27800.0,4,9.3,North America,51,1,0.8335,1,14178.0,0.3883495145631068,10.2,0
LEAD0034,Referral,Healthcare,Large,11700.0,8,6.5,South America,45,1,0.8589,1,5265.0,1.0666666666666667,5.0,0
LEAD0035,Referral,Tech,Medium,3500.0,6,5.7,Europe,74,0,0.8442,0,2590.0,0.8955223880597015,10.571428571428571,0
LEAD0036,LinkedIn,Finance,Small,35500.0,4,0.2,Asia-Pacific,40,0,0.5166,0,14200.0,3.3333333333333335,8.0,0
LEAD0037,Website,Healthcare,Large,19300.0,11,0.6,North America,58,1,0.9027,1,11194.0,6.875,4.833333333333333,0
LEAD0038,Website,Manufacturing,Small,7400.0,7,1.8,Europe,34,0,0.5049,0,2516.0,2.5,4.25,0
LEAD0039,Cold Call,Retail,Medium,47000.0,8,31.9,South America,68,1,0.3184,0,31960.0,0.24316109422492402,7.555555555555555,0
LEAD0040,Email,Manufacturing,Small,2900.0,3,25.6,Europe,71,1,0.207,0,2059.0,0.11278195488721804,17.75,0
LEAD0041,Website,Retail,Large,6500.0,5,8.4,Europe,29,0,0.243,0,1885.0,0.5319148936170213,4.833333333333333,0
LEAD0042,Email,Healthcare,Small,29900.0,9,2.5,North America,26,2,0.4363,1,7774.0,2.5714285714285716,2.6,0
LEAD0043,Website,Tech,Small,26700.0,7,2.0,North America,61,0,0.7594,1,16287.0,2.3333333333333335,7.625,0
LEAD0044,LinkedIn,Retail,Medium,8800.0,5,3.7,Europe,94,2,0.8974,1,8272.0,1.0638297872340425,15.666666666666666,0
LEAD0045,Website,Healthcare,Medium,3300.0,8,28.8,Asia-Pacific,73,1,0.7175,0,2409.0,0.2684563758389262,8.11111111111111,0
LEAD0046,Cold Call,Healthcare,Medium,41000.0,6,8.9,Europe,51,0,0.1249,0,20910.0,0.6060606060606061,7.285714285714286,0
LEAD0047,Website,Finance,Small,9500.0,6,19.7,North America,38,1,0.4113,1,3610.0,0.2898550724637681,5.428571428571429,0
LEAD0048,Email,Healthcare,Small,6400.0,5,8.6,Europe,31,1,0.2465,0,1984.0,0.5208333333333334,5.166666666666667,0
LEAD0049,Email,Finance,Medium,16500.0,8,11.4,North America,69,1,0.6881,1,11385.0,0.6451612903225806,7.666666666666667,0
LEAD0050,Website,Healthcare,Large,50200.0,8,11.4,Europe,73,1,0.918,1,36646.0,0.6451612903225806,8.11111111111111,0
LEAD0051,Referral,Tech,Medium,2900.0,6,0.5,South America,42,1,0.905,1,1218.0,4.0,6.0,0
LEAD0052,LinkedIn,Education,Small,31000.0,3,7.2,Asia-Pacific,50,2,0.2321,0,15500.0,0.3658536585365854,12.5,0
LEAD0053,Referral,Tech,Large,19000.0,6,24.0,North America,56,0,0.7625,0,10640.0,0.24,8.0,0
LEAD0054,LinkedIn,Tech,Small,13100.0,2,8.2,South America,91,0,0.6106,1,11921.0,0.2173913043478261,30.333333333333332,0
